application_proccess,company,interview_description,interview_difficulty,interview_experience,interview_questions,job_title,offer_status,review_date
N/A,General Assembly,"It was very friendly but difficult, a lot of questions doesn't belong to industry, but i had a lot of fun, great interviewers. Amazing environment. When i get in they offer me water, tea, coffee and I think it was very nice of them.",Difficult Interview,Negative Experience," Why do you think we should hire you?   ,Answer Question",Teaching Assistant,Accepted Offer," Dec 21, 2017"
The process took 3+ months. I interviewed at General Assembly.,General Assembly,"One of the worst interview processes I have ever participated in. Disorganized, non-communicative and unprofessional. It’s been about a month in between each step with almost zero responses to emails. At one point, the recruiter sent me a rejection email meant for someone else, for an entirely different position. She followed up an hour later saying it was a mistake and that she would check on my status. Heard back about a week later with a rejection, even though I was commended for my in person interview and my successful completion of the task. They went with someone who had a big name law firm on their resume, which they should have disclosed that they wanted that in the ad if that’s what they were looking for, instead of wasting 3 months of my time. If this is how their hiring process works, I can only imagine how dysfunctional their inner workings are. I would avoid GA at all costs.",Easy Interview,Negative Experience," How does your experience relate to the position?   ,Answer Question",Commercial Counsel,No Offer," Dec 11, 2017"
N/A,General Assembly,"Was contacted for a phone interview. After scheduling it, blocking the time and making myself available, never heard anything. Followed up with two emails to reschedule but I never received an answer. At least respect people's time and call if you say you are going to. Or reschedule if something comes up.",N/A,Negative Experience,,Marketing,No Offer," Nov 30, 2017"
"I applied online. The process took 2 weeks. I interviewed at General Assembly (Washington, DC) in November 2017.",General Assembly,"They call you, you have a brief phone interview, they call you in where they ask you generic interview questions. They show you around the ""facilities"" and then show you where all the other ""admissions receptionists"" work. It was literally a room with a bunch of 18- 24 y/o on phones. This job is basically a glorified telemarketer. Please do not be fooled. Worst interview of my life and a total waste of time.",Easy Interview,Negative Experience," Typical and very generic interview questions.,-""Where do you see yourself in 5 years"",-"" What are your greatest professional strengths?"",-""What do you consider to be your weaknesses?""   ,Answer Question","""Admissions Receptionist""",No Offer," Jan 1, 2018"
I applied through a recruiter. The process took 2+ months. I interviewed at General Assembly.,General Assembly,"3 phone interviews, and a task (three questions to which I had to do research and write answers). After submitting the task, I never heard anything. Not even a confirmation that they had received it. I emailed to ask, no response. I emailed 3 more times to confirm receipt of the task and to follow up. Never heard anything back ever.",Average Interview,Negative Experience," What tradeshows should we focus on?   ,1 Answer, How can we use our blog to create a whitepaper?   ,1 Answer, What can we do to reach our audience (c-level, etc.)   ,1 Answer",B2B Marketing Manager,No Offer," Oct 31, 2017"
The process took 2 weeks. I interviewed at General Assembly.,General Assembly,Had a brief phone call with the recruiter and was later given a take-home assignment. I did complete it and returned it in a timely manner but never received any feedback on it from the recruiter. I tried following up multiple times in a month over email but still no response. I simply expected a reply stating either they are still reviewing it or they are not pursuing my application further or some sort of communication. I spent time from my daily work doing to coding exercise so I expected some sort of feedback.,Easy Interview,Negative Experience," Take home coding assignment   ,Answer Question",Software Engineer,No Offer," Oct 5, 2017"
"I applied online. I interviewed at General Assembly (Seattle, WA).",General Assembly,"I applied online for a UX Design Immersion Program. They set you up with a phone interview, followed by an application process which included questionnaires and a project assignment to submit, and lastly an in-person interview.",Easy Interview,Positive Experience," The whole interview process was non-technical and straight-forward. They basically want to see why you are interested in the program and if you are ready to take on the commitment. The questionnaires are very in-depth and will take some time to complete: it will ask you to describe your goals, search for networking events around your area, search for open jobs, etc. The project is presented like a real assignment, and will require you to put in the time and effort to complete: I enjoyed this a lot since I felt like I was able to challenge my creativity and see the outcome of my efforts. For the in-person interview, they go over the submitted project with you and ask you the details of it- why you chose to design it this way, what challenges you encountered, etc., and they will also go over the program in detail. The whole process was pretty casual, but they do make you ""work for it"" in the sense that they not only want to see that you are committed, but to make sure that you yourself are aware of the responsibility and the time commitment this program would take. They were very easy to communicate with, and I was able to have all my questions answered. I also appreciated how honest they were - they emphasized that this program itself will not land you to a high-paying job; It is ultimately up to you and what you put in to it and how effectively you utilize this program. I accepted the offer and will be starting my program late-October!   ,Answer Question",Student,Accepted Offer," Sep 19, 2017"
"I applied online. I interviewed at General Assembly (New York, NY) in September 2017.",General Assembly,"I interviewed by phone. The first person didn't know anything about the field, and the second person was incredibly vague when it came to expectations. The phone interviewers weren't very intelligent and they are conceited.",Easy Interview,Negative Experience," Could you describe your background in data science?   ,Answer Question",Data Science Program,No Offer," Sep 11, 2017"
I applied online. I interviewed at General Assembly.,General Assembly,"1. Screening call with recruiter,2. Call with hiring manager,3. 30 minute VC chats with HRBP, current regional director, peer of hiring manager,I expressed concerns about how many people describe being ""ghosted"" in the interview process; the hiring manager reassured me that contact would be strong and punctual. Unfortunately the recruiter took two weeks to get back to me after round 3; I was invited to interview with their COO but had signed an offer elsewhere the day before.",Easy Interview,Negative Experience," Describe your leadership style   ,Answer Question",Regional Director,Declined Offer," Aug 10, 2017"
I applied through other source. I interviewed at General Assembly in August 2017.,General Assembly,"1) Phone screening 2) 15 Sample teaching 3) then 5 minute teaching,They will contact you email and schedule an interview. The interview is about 30-45 minutes.,The sample teaching is 15 minutes and then re-teach for 5 minutes.",Easy Interview,Negative Experience," They asked about relevant experience on the subject. Then, 15 minute teaching demo.,They said I did a great job, energy etc. Then, they will call me tomorrow regarding start. They havent called me or anything. I politely follow up via email and call.,Just like what other reviews. They are disorganized and waste of time so better not entertain them when they call you.,I wish I had listen to other reviews before deciding to come.   ,Answer Question",Instructor,No Offer," Aug 18, 2017"
