application_proccess,company,interview_description,interview_difficulty,interview_experience,interview_questions,job_title,offer_status,review_date
"I applied online. The process took 2 weeks. I interviewed at Zillow (Seattle, WA).",Zillow,"Discussions with the recruiter were positive and courteous. I felt like Zillow understood my background and wanted to work with me. The moment I spoke with an engineer, though, I felt differently. All he wanted to do was talk about himself. He barely asked me a thing about my experience or what I was interested in. I am a very senior person who was asked a low-ball question. I provided a good, efficient answer and tested it well, but still got rejected. Pretty short-sighted. I've worked with too many snowflakes in my career and I don't want to work with another.",Easy Interview,Negative Experience,,Senior Software Engineer,No Offer," Jan 9, 2018"
I applied online. The process took 2 weeks. I interviewed at Zillow.,Zillow,2 Phone calls. 1 call with a recruiter. 1 call with the sales manager. 1 in person interview with 3 different people. 2 of the people were Account Executives,Average Interview,Positive Experience," Tell me about your experience   ,Answer Question",Account Executive,Accepted Offer," Jan 18, 2018"
"I applied online. The process took 4+ weeks. I interviewed at Zillow (Seattle, WA).",Zillow,"I applied online. Within a couple days, a recruiter reached out to me to schedule a phone interview. I interviewed with analyst on the team. Next was a second phone interview with the director of the team. The final stage was an on-site interview. Overall, I was impressed with the interview process. Zillow was always very quick to respond, and in general the whole process was very fast. Only a month passed between my application and offer. In general, the interview questions focused on describing my process and recounting specific examples of work I had done and scenarios I had faced.",Average Interview,Positive Experience," Why are you looking to leave your current job?   ,1 Answer, Tell me about a time you had a professional disappointment. What happened and how did you react?   ,1 Answer",Data Analyst,Accepted Offer," Jan 16, 2018"
"The process took 4 weeks. I interviewed at Zillow (Denver, CO).",Zillow,"Very efficient, friendly process that started off with a phone screen with a recruiter going over my background and interests in Zillow.,I was then moved to the next round which was another phone screen with the hiring manager that was very conversational. He wanted to know what my current sales process looked like, what type of training I've had in the past and how I dealt with difficult situations.,I got a call the recruiter a day later that they'd like me to come in for an in person interview. I was taken around the office at first and then brought in to a conference room where I met with the hiring manager again, sales director (virtually), sales manager (virtually) and a senior member of the team. All the conversations were very comfortable and asked questions around my past experiences, what type of sales tactics I use and why I wanted to work at Zillow.,I got a call a few days later asking if I could speak with the VP of Sales for 30 minutes the next week. We had a great conversation about the past company I worked for and how it related to Zillow. She was extremely friendly and engaged in the conversation.,Due to the Holidays it took around two weeks to get a final offer. It felt like a month but the recruiter was fantastic throughout the entire process and kept me in the loop.,Everyone I spoke with truly seemed to love what they do and absolutely love working for Zillow. I couldn't be more excited to work with everyone I interviewed with.",Average Interview,Positive Experience," Why Zillow?   ,Answer Question, What motivates you?   ,Answer Question, What are some of your sales tactics?   ,Answer Question",Business Consultant,Accepted Offer," Jan 5, 2018"
I applied through an employee referral. I interviewed at Zillow.,Zillow,"Was contacted by a recruiter who then set up an interview with one of their marketing managers. He was not aware that I had not applied but was contacted, which I found a bit strange",Easy Interview,Neutral Experience," - Tell me about yourself,- Tell me about a marketing project you have done,- Why Zillow?   ,Answer Question",Marketing Strategy,Declined Offer," Jan 8, 2018"
N/A,Zillow,"Followed up with an email and initial phone interview, which moved me to the next round and another phone screening with a sales manager.,The questions were very difficult and the manager was very sharp so I didn’t know what to expect after the call. I didn’t hear back for couple days, which felt like weeks, but they emailed me back about 3-5 days later for an in person interview the following week.,The in person interview was very welcoming. I went and saw all the departments, including the sales floor, and they showed me how the day to day worked within the company, which was amazing. I interviewed with 3 different managers and it lasted about 2 hours overall.,I didn’t hear back from the recruiter for about 3-4 days, which again felt like a lifetime. I received an email and followed up with an acceptance offer and flew to Seattle to train for 10 days a couple weeks later. Smooth process, one of the better / more difficult interview I’ve faced but extremely effective.,Very quick to respond considering how busy they are, a few days felt like a forever but was super excited to receive the offer as I was weighing option from other places. Zillow is amazing and couldn’t be happier.",N/A,Positive Experience," Cold call pitch - also know the company and understand their values before you interview   ,Answer Question",Sales Executive,Accepted Offer," Dec 24, 2017"
"I applied online. The process took 2 weeks. I interviewed at Zillow (Seattle, WA) in January 2018.",Zillow,"I applied for the entry level position online and was emailed by the recruiter about a week later to schedule a 30 minute phone screening. She asked me tell her more about myself, why I wanted to work at Zillow, my past work experience, my senior thesis, why I like data analytics, what i've been doing since graduation. She was very friendly and making the interview more like a conversation. I was told that after this there would be a phone screening with the hiring manager and then finally an onsite interview. Unfortunately, I was told about a week later that they had decided to move on with other candidates. Even though I didn't make it pass the phone screening, I thought the overall experience was nice and good practice for someone new to the industry.",Average Interview,Positive Experience," Tell me about yourself   ,Answer Question",Listings Systems Analyst,No Offer," Jan 22, 2018"
"I applied online. I interviewed at Zillow (Seattle, WA).",Zillow,"There is a brief phone interview followed by a more in depth phone interview with a sales manager. If they are impressed, you will be invited to the office for an ""in person"" interview. Two managers will speak with you and if they feel you are a good fit, you will get a call soon after offering you the position.",N/A,Positive Experience," They will ask you about past sales experience and will want to dig into your personality. They are looking for passionate people who are driven to do the best they can do everyday.   ,Answer Question",Inside Sales Representative,Accepted Offer," Dec 18, 2017"
"I applied through a recruiter. The process took 3 days. I interviewed at Zillow (Bellevue, WA).",Zillow,"Applied online and contacted by the recruiter. Set up a time for a technical screening for two coding questions. Doing very well and got rejected the second day with very general auto reply message. During the phone interview, there is no introduction for the position and nothing about the company. Looks like they schedule the interview because they have to, instead of wanting to know if this person is good or not. And this is the second time happened on me with this feeling with this company",Easy Interview,Negative Experience," Simple tree questions   ,Answer Question",Software Engineer,No Offer," Dec 6, 2017"
N/A,Zillow,"I applied for the position and 5 days later received an email to schedule a phone screening. The recruiter called me about 8 minutes later than the scheduled time. The phone interview lasted about 20 minutes where I was asked the typical phone screen questions. My experience aligned with how several others described. The questions seemed scripted, it almost felt like I was talking to a robot, and it was not at all conversational. Once she was done asking me her questions, she was done talking to me. At that point I felt she was in a rush to read her script about the position and get off the phone. I interviewed on a Wednesday and she said they would let me know either way if I was moving on by that Friday. It is just short of 2 months later and I still have heard nothing, which I can assume means I am not moving on to the next round. Unfortunately, I did not interview as well as I had hoped (It’s been a while since I’ve interviewed and I think my nerves got to me), and expected that I would not move forward. I still feel Zillow is a great company which is reflected in the company reviews, and will continue to pursue a position with you. With your responsiveness to reviews, I hope you use the information in your interview reviews to improve your process. Interviews (especially phone screens) are just as much about the candidate feeling good about the company/position as they are about the company feeling good about the candidate. In addition, in every job I have ever had, my level of follow up has been an element of my performance regardless of how easy or difficult the message/task. I don’t feel this expectation should be different whether internal, external, or employee candidate.",Average Interview,Neutral Experience," Can you tell me about a time where you experienced shifting focus and or priority and how did you handle it?   ,Answer Question",Senior Manager,No Offer," Dec 7, 2017"
